"Name","Created","learning_rate","State","best_acc","cl_weight","classification","device","local_rank","loss","rank","train_acc (Max)","valid_acc","server","feature_module","freeze_backbone","input_layer","learnable_input_dist","feature_branch","measure_grad","Runtime","backbone_grads","use_sampler","use_hcm","weight_grads"
"658a98a11-5d0a-417b-bd8a-8b31c4b6e7ec","2025-09-10T05:17:13.000Z","0.00001","finished","0.7353324630580639","0.3","false","cuda","","CE","","0.5726509654243129","0.7353324630580639","6","residual_11","True","false","True","false","false","4172","","True","false",""
"68e43a9e0-1387-46ea-9318-4694db5bb89c","2025-09-10T05:12:34.000Z","0.00001","finished","0.7297913961335919","0.3","false","cuda","","CE","","0.5876456685282279","0.7284876148579484","6","residual_18","True","false","True","false","false","4162","","True","false",""
"64e03bd65-9a98-48a7-9bdc-0f6d29e3f2af","2025-09-10T04:06:55.000Z","0.00001","finished","0.7307692296812711","0.3","false","cuda","","CE","","0.5692282619836541","0.7190352010758013","6","residual_9","True","false","True","false","false","4201","","True","false",""
"697e6ffa2-f341-4fb5-a585-67a5e6cafe64","2025-09-10T04:04:05.000Z","0.00001","finished","0.7353324630580639","0.3","false","cuda","","CE","","0.584141471592685","0.7291395040969649","6","residual_16","True","false","True","false","false","4092","","True","false",""
"63bf2d03c-4e8b-4b3d-a319-42ccf3093d4a","2025-09-10T02:58:16.000Z","0.00001","finished","0.7249022168939085","0.3","false","cuda","","CE","","0.556352375742956","0.7141460239343258","6","residual_7","True","false","True","false","false","4102","","True","false",""
"6bf758a61-a7e0-4a5a-af0b-72c6ae92f466","2025-09-10T02:55:22.000Z","0.00001","finished","0.7275097788235044","0.3","false","cuda","","CE","","0.5794963735928309","0.7275097788235044","6","residual_14","True","false","True","false","false","4105","","True","false",""
"pm1c33f32a-06f4-4055-af31-4d0e0137791d","2025-09-10T02:07:45.000Z","0.00002","finished","0.7385919157809042","0.3","false","cuda","","CE","","0.5807187676614328","0.7385919157809042","pm","residual_5","True","false","True","","","2339","","True","false",""
"6c4175d27-3c5a-42a0-b9ef-dbbce691217e","2025-09-10T01:48:52.000Z","0.00001","finished","0.7125162983500196","0.3","false","cuda","","CE","","0.54445440457256","0.7053455027327855","6","residual_5","True","false","True","false","false","4146","","True","false",""
"6fbf57b57-3884-4031-b093-2b678c1e984b","2025-09-10T01:47:00.000Z","0.00001","finished","0.7271838323389225","0.3","false","cuda","","CE","","0.5737103739797841","0.7161016953815227","6","residual_12","True","false","True","false","false","4085","","True","false",""
"pmd9a6dc8c-89f2-463e-bec0-b1c80fca2a2a","2025-09-10T01:28:27.000Z","0.00002","finished","0.7108865721440222","0.3","false","cuda","","CE","","0.5590416429221762","0.7043676661543616","pm","residual_3","True","false","True","","","2329","","True","false",""
"6b6d8175a-8d05-41c0-a765-69e9f3f853f0","2025-09-10T01:28:11.000Z","0.00001","finished","0.9064537165528636","0.3","false","cuda","","CE","","0.9761225654466666","0.9025423730367788","6","false","false","false","True","false","True","10622","0.79919513650788","True","false","0.028666927279979926"
"pm287a20d6-aa75-4049-a512-8fc2d845bdc5","2025-09-10T00:49:27.000Z","0.00002","finished","0.6567796617940632","0.3","false","cuda","","CE","","0.5229402654970122","0.6489569742179134","pm","residual_1","True","false","True","","","2312","","True","false",""
"63307d4b9-bf51-457d-a5b8-099c8994467a","2025-09-10T00:39:53.000Z","0.00001","finished","0.6848109528480639","0.3","false","cuda","","CE","","0.5294597018305184","0.6848109528480639","6","residual_3","True","false","True","","","4121","","True","false",""
"6f7fede13-3287-4885-b74d-e3f2bae48f86","2025-09-10T00:38:38.000Z","0.00001","finished","0.7262059969261697","0.3","false","cuda","","CE","","0.5770515852613327","0.7222946552751583","6","residual_10","True","false","True","","","4084","","True","false",""
"pm38d3f9b4-3fb8-4946-891b-6e2a9e0b4981","2025-09-10T00:10:41.000Z","0.00002","finished","0.5658409382948819","0.3","false","cuda","","CE","","0.4113764159375925","0.5580182527780844","pm","false","True","false","True","","","2297","","True","false",""
"6434c82a0-bcf1-4314-9fca-4e3912d0ec46","2025-09-09T23:30:44.000Z","0.00001","finished","0.7209908724452868","0.3","false","cuda","","CE","","0.5606715019612293","0.7209908724452868","6","residual_8","True","false","True","","","4057","","True","false",""
